reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
MCITL2,0,0,0,NA,NA
PC,0,NA,0,NA,0
PPS,0,0,0,0,NA
X00002,0,NA,NA,NA,NA
ALKP,0,NA,NA,NA,NA
FRUK,0,0,NA,0,0
FBA2,1,NA,NA,NA,2
FBP,0,0,0,0,0
G3PD1ir,0,NA,0,NA,0
INSCR,0,NA,NA,NA,NA
MGSA,0,0,NA,4,0
PFK,0,0,0,0,0
RMPA,1,0,NA,0,NA
PGK,0,0,0,0,0
LAAL35,0,NA,NA,NA,NA
LAAL36,0,NA,NA,NA,NA
LAAL37,0,NA,NA,NA,NA
LAAL38,0,NA,NA,NA,NA
DDPA,1,5,1,4,4
HEX7,0,0,0,0,0
G6PDA,0,0,NA,0,0
M1PD,0,0,NA,0,NA
MAN6PI,1,0,0,0,0
PGI,0,0,0,0,0
PFK_2,0,0,NA,0,NA
IGPS,0,1,0,1,0
LAAL33,0,NA,NA,NA,NA
LAAL34,0,NA,NA,NA,NA
FDH,0,NA,NA,NA,0
GART,0,0,0,0,NA
RBFSa,3,1,3,4,5
GNKr,0,NA,NA,NA,NA
PGL,0,0,1,0,1
ARABDI,1,NA,NA,NA,NA
2S6HCCi,1,NA,NA,NA,NA
ADCL,0,0,0,0,0
ALAD_L,0,NA,0,NA,NA
DXPRIi,0,0,0,0,NA
GLCRAL_1,0,NA,NA,NA,NA
ICHORT,2,0,NA,0,NA
MALDDH,0,0,NA,0,NA
ME2,0,0,0,0,NA
PYK,0,0,0,0,0
SERD_D,0,0,NA,0,NA
SERD_L,0,0,0,0,0
TRPAS1,0,NA,NA,NA,NA
RBK_L1,0,0,NA,0,NA
XYLI1,1,1,NA,0,NA
NTD3,2,1,NA,1,1
TMDS,0,0,0,0,0
URIDK2r_copy1,0,NA,NA,NA,NA
URIDK2r_copy2,0,NA,NA,NA,NA
DCMPDA,0,NA,0,NA,0
DUTPDP,0,0,0,0,0
DGK1,0,0,0,0,0
DTMPK,0,0,2,0,1
ALLTN,0,4,NA,2,0
RNDR3,0,0,0,0,0
GTPCI,4,7,6,2,3
GTPCII,3,NA,NA,NA,3
GTPDPK,0,2,1,1,NA
TRDR,0,2,0,4,2
GLYK,0,0,0,0,0
GPDDA1,0,3,NA,0,0
GPDDA2,1,1,NA,1,NA
GPDDA4,0,0,NA,0,NA
PHCYT_BS,0,NA,NA,NA,NA
G3PCT,0,NA,NA,NA,NA
RNDR4,0,0,2,0,0
UAG2EMA,0,NA,NA,NA,NA
UDPG4E,0,0,0,0,0
UDPGD,0,1,3,2,NA
UAG2E,0,1,1,1,NA
ALAALAr,0,1,1,0,NA
CDPMEK,12,1,1,10,NA
MECDPDH2,10,NA,NA,8,NA
UAGPT3,2,2,2,2,NA
UDCPDP,0,0,0,0,NA
UGMDDS,0,0,0,0,NA
UAG4E,0,NA,NA,NA,NA
ADSL2r,0,0,0,0,0
ASPT,0,0,0,0,NA
FUM,0,0,0,0,0
SUCD1,0,NA,NA,NA,NA
ASP1DC,0,0,0,0,NA
ASPCT,0,1,1,1,2
OCBT_1,0,NA,NA,NA,NA
ASAD,0,7,0,7,0
CS,0,0,0,0,NA
ICDHyr,0,0,0,0,0
MCITS,0,1,2,NA,NA
MDH,0,0,0,0,0
OXGDC,0,NA,NA,NA,NA
PPCK,0,0,0,0,0
AIRC1,0,NA,NA,NA,NA
CHORS,7,0,3,0,9
ICHORS,3,NA,NA,NA,NA
ABUTD,0,0,NA,0,NA
SSALy,0,0,0,0,0
ACGK,0,0,0,0,NA
ACODA_1,0,NA,NA,NA,NA
AGPR,0,0,0,0,NA
LAAL11,0,NA,NA,NA,NA
LAAL15,0,NA,NA,NA,NA
LAAL17,0,NA,NA,NA,NA
LAAL2,0,NA,NA,NA,NA
LAAL25,0,NA,NA,NA,NA
