reaction,Bsubtilis,Ecoli,Gmetallireducens,Kpneumoniae,Scerevisiae
OXAMTC,NA,0,NA,NA,NA
AGMH,NA,0,0,0,NA
ANHMK,NA,1,0,0,NA
GLNTRS,NA,0,0,0,0
GDPDPK,NA,0,1,0,NA
INSK,NA,0,NA,0,0
MAN1PT2,NA,5,0,NA,NA
NTPP9,NA,0,NA,0,NA
RNDR2b,NA,0,NA,0,NA
AIRC3,NA,0,NA,0,NA
DXYLK,NA,0,NA,0,NA
PDXPP,NA,1,NA,1,NA
G1PTT,NA,3,1,3,NA
TDPDRE,NA,1,1,1,NA
GLCP2,NA,0,NA,0,NA
FRULYSK,NA,0,NA,NA,NA
LYSTRS,NA,0,0,0,0
FOMETRi,NA,0,NA,NA,NA
THFAT,NA,1,NA,NA,NA
SELGTHR2,NA,2,NA,NA,NA
SELGTHR3,NA,1,NA,NA,NA
FALDH2,NA,1,NA,1,NA
RNDR1b,NA,0,NA,0,NA
A5PISO,NA,0,0,0,NA
DHPPDA2,NA,2,2,2,NA
HPPK2,NA,0,0,0,NA
PYDAMK,NA,0,NA,0,2
PYDXNK,NA,0,NA,0,0
PYDXPP,NA,1,NA,1,NA
OPHBDC,NA,2,NA,1,NA
SADT2,NA,1,0,1,NA
GALCTND,NA,1,NA,1,NA
GNK,NA,0,NA,0,NA
HPYRRx,NA,0,NA,0,NA
HPYRRy,NA,0,NA,0,NA
MANPGH,NA,0,NA,NA,NA
KDOPP,NA,0,0,0,NA
NTP11,NA,0,NA,NA,NA
NTPP10,NA,1,NA,1,NA
ACBIPGT,NA,0,0,0,NA
BMOGDS1,NA,0,0,NA,NA
BMOGDS2,NA,0,0,NA,NA
BWCOGDS1,NA,0,0,NA,NA
BWCOGDS2,NA,0,0,NA,NA
CPMPS,NA,0,0,NA,NA
GDPMNH,NA,0,NA,NA,NA
GP4GH,NA,0,NA,0,NA
GTPHs,NA,2,NA,NA,NA
GUACYC,NA,1,NA,NA,NA
MOGDS,NA,0,0,NA,NA
NTP3,NA,0,NA,0,0
NTPP2,NA,0,0,0,NA
PPGPPDP,NA,0,0,0,NA
SELNPS,NA,0,1,0,NA
DHCINDO,NA,1,NA,1,NA
NAMNPP,NA,0,0,0,NA
3HPPPNH,NA,0,NA,2,NA
DHPPD,NA,0,NA,NA,NA
BETALDHy,NA,0,NA,NA,NA
FCI,NA,1,NA,1,NA
ALR4x,NA,0,NA,0,NA
LCARR,NA,0,NA,0,NA
NNDMBRT,NA,1,1,1,NA
OMMBLHX,NA,0,NA,0,NA
OMMBLHX3,NA,0,NA,NA,NA
DURADx,NA,0,NA,NA,NA
PYROX,NA,5,NA,NA,NA
HEPK2,NA,0,NA,NA,NA
RHAT1,NA,0,NA,NA,NA
R1PK,NA,1,NA,NA,NA
APCS,NA,0,NA,NA,NA
OMPHHX,NA,0,NA,0,NA
OMPHHX3,NA,0,NA,NA,NA
OPHHX,NA,0,NA,0,NA
OPHHX3,NA,0,NA,NA,NA
MPTS,NA,6,6,NA,NA
MPTSS,NA,0,0,NA,NA
GMHEPAT,NA,1,1,2,NA
HEPT3,NA,1,NA,0,NA
HEPT4,NA,0,NA,NA,NA
HEPK1,NA,0,NA,NA,NA
MOCOS,NA,0,0,NA,NA
ALLPI,NA,0,NA,0,NA
HEX4,NA,0,0,NA,0
MN6PP,NA,0,NA,0,NA
GDPMNP,NA,0,NA,0,NA
GSNK,NA,0,NA,0,0
PDE4,NA,0,NA,NA,0
NTD11,NA,0,NA,0,0
XTSNH,NA,0,NA,0,NA
PRAMPC,NA,1,1,1,1
URDGLYCD,NA,1,NA,NA,NA
UDPGALM,NA,0,NA,NA,NA
NTPP7,NA,0,0,0,NA
ADNUC,NA,0,NA,0,0
ADA,NA,0,NA,0,0
DADA,NA,0,NA,0,0
DHPTDCs2,NA,1,NA,NA,NA
DSBDR,NA,0,NA,0,NA
RZ5PP,NA,0,0,0,NA
CDGR,NA,0,0,NA,NA
DNMPPA,NA,0,3,NA,0
INSH,NA,0,NA,0,NA
NTD12,NA,0,NA,0,NA
GMHEPK,NA,3,3,4,NA
NADN,NA,1,NA,NA,0
NADDP,NA,3,NA,3,NA
X5PL3E,NA,0,NA,0,NA
DHNPTE,NA,1,NA,NA,NA
GMAND,NA,2,2,NA,NA
ADK4,NA,0,NA,3,NA
ATPHs,NA,0,NA,NA,NA
HISTRS,NA,0,0,0,0
TDPDRR,NA,0,0,0,NA
GLDBRAN2,NA,0,NA,0,NA
GLBRAN2,NA,2,NA,2,NA
FRULYSE,NA,1,NA,NA,NA
2MAHMP,NA,0,NA,0,NA
2DGULRGx,NA,0,NA,NA,NA
2DGULRGy,NA,0,NA,NA,NA
5DGLCNR,NA,0,NA,NA,NA
QUINDH,NA,0,NA,NA,NA
BMOCOS,NA,0,0,NA,NA
BWCOS,NA,0,0,NA,NA
GTPDPDP,NA,0,NA,0,NA
NTP12,NA,0,NA,NA,NA
3HCINNMH,NA,0,NA,2,NA
DHCIND,NA,0,NA,NA,NA
PPPNDO,NA,1,NA,NA,NA
NMNDA,NA,0,NA,NA,NA
URACPAH,NA,4,NA,NA,NA
MPTAT,NA,4,4,NA,NA
WCOS,NA,0,0,NA,NA
GMHEPPA,NA,2,2,3,NA
ALLK,NA,0,NA,NA,NA
MTHTHFSs,NA,0,NA,NA,NA
KG6PDC,NA,0,NA,0,NA
XYLK2,NA,0,NA,0,NA
DHMPTR,NA,0,NA,NA,NA
GDMANE,NA,1,1,NA,NA
NTP10,NA,0,NA,3,NA
GALCTLO,NA,0,NA,NA,NA
DKGLCNR1,NA,4,NA,NA,NA
DKGLCNR2x,NA,0,NA,NA,NA
DKGLCNR2y,NA,0,NA,NA,NA
IDOND,NA,0,NA,NA,NA
IDOND2,NA,0,NA,NA,NA
TDP,NA,0,NA,0,NA
TMK,NA,0,NA,0,NA
ThDPAT,NA,0,NA,NA,NA
CINNDO,NA,1,NA,NA,NA
CBMD,NA,0,NA,NA,NA
POAACR,NA,2,NA,NA,NA
3KGK,NA,0,NA,NA,NA
ASCBPL,NA,0,NA,1,NA
LYXI,NA,1,NA,1,NA
GOFUCR,NA,0,0,NA,NA
2DGULRx,NA,0,NA,NA,NA
2DGULRy,NA,0,NA,NA,NA
3AMACHYD,NA,1,NA,NA,NA
DOGULNR,NA,1,NA,NA,NA
MSAR,NA,0,NA,NA,NA
DM_5drib_c,NA,NA,0,NA,NA
CDGS1,NA,NA,2,NA,NA
CPPPGOAN2,NA,NA,0,NA,NA
DHXFUTC,NA,NA,3,NA,NA
MTAP,NA,NA,1,NA,3
BACCL,NA,NA,0,NA,0
DPLPTAT,NA,NA,0,NA,NA
FLNDPR2r,NA,NA,0,NA,NA
4HBZR,NA,NA,0,NA,NA
BCR6pp,NA,NA,0,NA,NA
BUTAFDOR,NA,NA,1,NA,NA
FRDPPCR2,NA,NA,0,NA,NA
FRNDPR2r,NA,NA,0,NA,NA
GLUSz,NA,NA,0,NA,NA
HDR3,NA,NA,0,NA,NA
IOR2b,NA,NA,0,NA,NA
IOR3b,NA,NA,0,NA,NA
IORb,NA,NA,0,NA,NA
MECDPDH4,NA,NA,6,NA,NA
NADFADOR,NA,NA,0,NA,NA
NIT1b,NA,NA,0,NA,NA
OOR2r,NA,NA,0,NA,NA
POR,NA,NA,0,NA,NA
POR3b,NA,NA,0,NA,NA
PPAAFDOR,NA,NA,1,NA,NA
PPPGO2,NA,NA,0,NA,NA
PPPGO4,NA,NA,0,NA,NA
SULR3,NA,NA,0,NA,NA
VOR1b,NA,NA,0,NA,NA
VOR2b,NA,NA,0,NA,NA
VOR3b,NA,NA,0,NA,NA
DHNAS,NA,NA,2,NA,NA
FUTH,NA,NA,0,NA,NA
AHCi,NA,NA,0,0,0
FUTS,NA,NA,1,NA,NA
LDGUNPD,NA,NA,0,NA,NA
ACITL,NA,NA,0,NA,NA
ADCYRS,NA,NA,1,0,NA
BSCT,NA,NA,0,NA,NA
BZSCD,NA,NA,0,NA,NA
BZSCT,NA,NA,0,NA,NA
CBPAH,NA,NA,4,NA,NA
CITMS,NA,NA,0,NA,NA
CSPMDDC,NA,NA,0,NA,NA
CYRDAS,NA,NA,2,0,NA
CYSLY3,NA,NA,0,NA,NA
DLTO,NA,NA,1,NA,NA
FADMQOR,NA,NA,0,NA,NA
FDH5r2pp,NA,NA,0,NA,NA
FRD2rpp,NA,NA,0,NA,NA
GCCb,NA,NA,1,NA,NA
GLUSx,NA,NA,0,NA,0
GLYTA,NA,NA,0,NA,NA
HCITS,NA,NA,0,NA,NA
HSERTA,NA,NA,0,NA,1
LACD,NA,NA,0,NA,NA
LDAPAT,NA,NA,0,NA,NA
MBCOAi,NA,NA,0,NA,NA
MMM2,NA,NA,0,NA,NA
MTHFR,NA,NA,0,NA,NA
NADH17pp,NA,NA,0,0,NA
OCOAT2r,NA,NA,0,NA,NA
OCOAT3r,NA,NA,1,NA,NA
OGCOAAT,NA,NA,0,NA,NA
ORNTAC,NA,NA,0,NA,NA
PCMEH3pp,NA,NA,0,NA,NA
PUTA3,NA,NA,0,NA,NA
SELCYSLY3,NA,NA,2,NA,NA
SSCOARy,NA,NA,0,NA,NA
STPT1,NA,NA,1,NA,NA
STPT2,NA,NA,1,NA,NA
SUCBZT1,NA,NA,0,NA,NA
SUCBZT2,NA,NA,0,NA,NA
SUCOAACTr,NA,NA,0,NA,NA
THRA2,NA,NA,0,0,0
THRA,NA,NA,0,0,0
TRPTA,NA,NA,0,0,3
UACGAMOAT,NA,NA,0,NA,NA
VCACT,NA,NA,0,NA,NA
VCOAD,NA,NA,0,NA,NA
DM_amob_c,NA,NA,0,NA,NA
5HBZIDMT,NA,NA,0,NA,NA
CPC2MT,NA,NA,0,0,NA
CPC3MT,NA,NA,0,0,NA
CPC4MT,NA,NA,0,0,NA
CPC5MT,NA,NA,1,1,NA
CPC6MT,NA,NA,1,1,NA
ACAFDOR,NA,NA,0,NA,NA
PPK2,NA,NA,0,0,NA
ACPS,NA,NA,0,NA,NA
BCOALIG,NA,NA,0,NA,NA
BCOALIG2,NA,NA,0,NA,NA
FACOAL100t2pp,NA,NA,0,0,NA
FACOAL120t2pp,NA,NA,0,0,NA
FACOAL140t2pp,NA,NA,0,0,NA
FACOAL141t2pp,NA,NA,0,2,NA
FACOAL160t2pp,NA,NA,0,0,NA
FACOAL161t2pp,NA,NA,0,2,NA
FACOAL180t2pp,NA,NA,0,0,NA
FACOAL181t2pp,NA,NA,0,2,NA
FACOAL60t2pp,NA,NA,0,0,NA
FACOAL80t2pp,NA,NA,0,0,NA
OBDHc,NA,NA,0,NA,NA
PACCOAL2,NA,NA,0,NA,NA
PACCOAL3,NA,NA,0,NA,NA
PPDK,NA,NA,0,NA,NA
CODH4,NA,NA,0,NA,NA
CHDCCH,NA,NA,0,NA,NA
ALCD4,NA,NA,0,NA,NA
LPD5,NA,NA,0,NA,NA
G3PD,NA,NA,0,NA,NA
GLUTCOADHc,NA,NA,0,NA,NA
N2OR,NA,NA,0,NA,NA
MOSDC,NA,NA,0,NA,NA
ALCD3ir,NA,NA,0,0,NA
CYTBD2pp,NA,NA,0,NA,NA
CYTBMQOR2pp,NA,NA,0,NA,NA
CYTMQOR3pp,NA,NA,0,NA,NA
HYD4pp,NA,NA,0,NA,NA
NO3R2pp,NA,NA,0,0,NA
NORZpp,NA,NA,0,NA,NA
NTRIR4pp,NA,NA,0,NA,NA
SULR2pp,NA,NA,0,NA,NA
AHSERL2,NA,NA,0,NA,0
IBTMr,NA,NA,0,NA,NA
PEPCK_re,NA,NA,0,NA,NA
HMPK4,NA,NA,0,NA,NA
CDGUNPD,NA,NA,1,NA,NA
VACOAI,NA,NA,0,NA,NA
EDTXS1N,NA,NA,0,NA,NA
EDTXS2N,NA,NA,0,NA,NA
U23GAATN,NA,NA,3,NA,NA
UAGAATN,NA,NA,1,NA,NA
UHGADAN,NA,NA,0,NA,NA
ADCPS1,NA,NA,0,0,NA
ADCPS2,NA,NA,0,NA,NA
CYRDAAT,NA,NA,0,0,NA
DGUNC,NA,NA,2,NA,NA
MAN1PT,NA,NA,0,NA,0
BZSS,NA,NA,0,NA,NA
ASPO2,NA,NA,0,NA,NA
HMPSCD,NA,NA,0,NA,NA
PICH,NA,NA,0,NA,NA
AGMDA,NA,NA,5,NA,NA
CSPMDDH,NA,NA,1,NA,NA
MCCC,NA,NA,2,NA,NA
CITCIa,NA,NA,3,NA,NA
HMPK2,NA,NA,0,NA,NA
CPC8MM,NA,NA,0,0,NA
CYRDAR,NA,NA,1,NA,NA
SULR,NA,NA,0,0,0
LCD,NA,NA,0,NA,NA
LacR,NA,NA,0,NA,NA
GLCTR4,NA,NA,0,NA,NA
GLCTR4N,NA,NA,0,NA,NA
HMPK3,NA,NA,0,NA,NA
GCCa,NA,NA,0,NA,NA
GCCc,NA,NA,0,NA,NA
PGLUSYN,NA,NA,0,NA,NA
MGCH,NA,NA,1,NA,NA
MME,NA,NA,0,NA,NA
FTHFCL,NA,NA,0,NA,0
LPADSSN,NA,NA,1,NA,NA
4HBCOAH,NA,NA,0,NA,NA
GHBDHy,NA,NA,0,NA,NA
3HOPCD,NA,NA,0,NA,NA
PRO1y,NA,NA,0,NA,NA
AIRCr,NA,NA,0,NA,0
THRPDC,NA,NA,0,NA,NA
BZDH,NA,NA,1,NA,NA
VNDH_2,NA,NA,0,NA,NA
PHEPC,NA,NA,1,NA,NA
UACGAMDH,NA,NA,0,NA,NA
HVCD,NA,NA,0,NA,NA
VECOAH,NA,NA,0,NA,NA
5HBZIDS2,NA,NA,0,NA,NA
SHCHCC,NA,NA,0,0,NA
CPC6R,NA,NA,0,0,NA
HOCCD,NA,NA,0,NA,NA
NORRDX,NA,NA,0,NA,NA
3MMD,NA,NA,1,NA,NA
CYTBCYTC,NA,NA,0,NA,NA
CYOO2pp,NA,NA,0,NA,NA
NO3R3pp,NA,NA,0,NA,NA
PPCCYTC1pp,NA,NA,0,NA,NA
ASR2,NA,NA,0,NA,NA
USHDN,NA,NA,0,NA,NA
MOAT2N,NA,NA,0,NA,NA
LIPAabcpp,NA,NA,0,0,NA
HEPT1N,NA,NA,0,NA,NA
4PEPTabcpp,NA,NA,0,0,NA
AGM4Pt2pp,NA,NA,5,5,NA
CITCIb,NA,NA,2,NA,NA
MOATN,NA,NA,0,NA,NA
3PEPTabcpp,NA,NA,0,0,NA
HEPT5,NA,NA,1,NA,NA
HEPT2N,NA,NA,0,NA,NA
HEPT5N,NA,NA,1,NA,NA
GLA,NA,NA,0,0,NA
UDPGLDC,NA,NA,0,NA,NA
TDSKN,NA,NA,0,NA,NA
UDCPPtppi,NA,NA,0,0,NA
OCHCCH,NA,NA,0,NA,NA
BZALDH,NA,NA,0,NA,NA
PHEPS,NA,NA,0,NA,NA
ALCD1,NA,NA,0,NA,NA
RDXR,NA,NA,3,NA,NA
K2L4Aabcpp,NA,NA,0,NA,NA
AGM3Pt2pp,NA,NA,0,0,NA
GM1LIPAabcpp,NA,NA,0,NA,NA
GM2LIPAabcpp,NA,NA,0,NA,NA
ULA4Ntppi,NA,NA,0,NA,NA
ROO,NA,NA,0,NA,NA
AGMt2pp,NA,NA,0,0,NA
MOTH1,NA,NA,0,NA,NA
MOTH2,NA,NA,0,NA,NA
MOTS1,NA,NA,1,NA,NA
MTI,NA,NA,0,NA,NA
MOTH3,NA,NA,0,NA,NA
MOTS2,NA,NA,1,NA,NA
MOTH4,NA,NA,0,NA,NA
MOTS3,NA,NA,1,NA,NA
MOTS4,NA,NA,1,NA,NA
12DGR120tipp,NA,NA,NA,0,NA
APTNAT,NA,NA,NA,1,NA
ARAT,NA,NA,NA,0,NA
RNTR3c,NA,NA,NA,0,NA
CYS,NA,NA,NA,0,NA
DHPACCOAHIT,NA,NA,NA,1,NA
GLCOAS,NA,NA,NA,0,NA
KAT1,NA,NA,NA,0,NA
DAPAT,NA,NA,NA,1,NA
FGLU,NA,NA,NA,1,NA
OXGDC2,NA,NA,NA,0,NA
ACLS_a,NA,NA,NA,0,NA
DHEDAA,NA,NA,NA,0,NA
SHCHCS2,NA,NA,NA,1,NA
SUCptspp,NA,NA,NA,0,NA
THZPSN,NA,NA,NA,0,NA
TREptspp,NA,NA,NA,0,NA
OXPTNDH,NA,NA,NA,0,NA
PPRDNDH,NA,NA,NA,0,NA
ARD_1,NA,NA,NA,0,NA
RNTR4c,NA,NA,NA,0,NA
FLDR,NA,NA,NA,1,NA
BTS4,NA,NA,NA,0,NA
RNTR1c,NA,NA,NA,0,NA
RNTR2c,NA,NA,NA,0,NA
D5KGPA,NA,NA,NA,0,NA
DHAK,NA,NA,NA,0,0
GLYCDH,NA,NA,NA,1,NA
LIPACabcpp,NA,NA,NA,0,NA
3OADPCOAT,NA,NA,NA,0,NA
HADPCOADH,NA,NA,NA,0,NA
HACD1i,NA,NA,NA,0,NA
PHACOAOR,NA,NA,NA,0,NA
BGLK,NA,NA,NA,0,NA
HACD8i,NA,NA,NA,0,NA
PPDD,NA,NA,NA,2,NA
CYRDAR2,NA,NA,NA,1,NA
IZPN,NA,NA,NA,2,NA
ilvg,NA,NA,NA,0,NA
OHEDH,NA,NA,NA,1,NA
FFSD1r,NA,NA,NA,0,NA
CYTBDpp,NA,NA,NA,0,NA
CYTBO3_4pp,NA,NA,NA,0,NA
NO3R1pp,NA,NA,NA,0,NA
2OH3K5MPPISO,NA,NA,NA,2,NA
CITt4_1,NA,NA,NA,0,NA
12DGR140tipp,NA,NA,NA,0,NA
12DGR141tipp,NA,NA,NA,0,NA
12DGR160tipp,NA,NA,NA,0,NA
12DGR161tipp,NA,NA,NA,0,NA
12DGR180tipp,NA,NA,NA,0,NA
12DGR181tipp,NA,NA,NA,0,NA
URIDK2r,NA,NA,NA,0,0
D5KGK,NA,NA,NA,1,NA
13PPDH,NA,NA,NA,0,NA
2INSD,NA,NA,NA,3,NA
OXOAEL,NA,NA,NA,0,NA
12PPDt,NA,NA,NA,0,NA
ARD1,NA,NA,NA,0,NA
FDH5pp_1,NA,NA,NA,0,NA
NADH18pp,NA,NA,NA,0,NA
ECAtpp,NA,NA,NA,0,NA
BLUB,NA,NA,NA,0,NA
ACTD,NA,NA,NA,0,NA
ACTDa,NA,NA,NA,0,NA
HHDDI,NA,NA,NA,2,NA
FDH4pp_1,NA,NA,NA,0,NA
GLCDpp,NA,NA,NA,0,NA
HYD1pp,NA,NA,NA,0,NA
NADH16pp,NA,NA,NA,0,NA
NODOx,NA,NA,NA,0,NA
NODOy,NA,NA,NA,0,NA
23DK5MPPISO,NA,NA,NA,3,NA
DKDID,NA,NA,NA,2,NA
HACD6i,NA,NA,NA,0,NA
HACD7i,NA,NA,NA,0,NA
HACD5i,NA,NA,NA,0,NA
HACD4i,NA,NA,NA,0,NA
HACD3i,NA,NA,NA,0,NA
MUCLI,NA,NA,NA,1,NA
HACD2i,NA,NA,NA,0,NA
ABTDG,NA,NA,NA,2,NA
OPTCCL,NA,NA,NA,3,NA
2DGLCNRx,NA,NA,NA,0,NA
2DGLCNRy,NA,NA,NA,0,NA
THYMt3pp,NA,NA,NA,0,NA
MUCCYCI,NA,NA,NA,2,NA
RBTDG,NA,NA,NA,1,NA
ABTpp2,NA,NA,NA,0,NA
CMHMI,NA,NA,NA,4,NA
CATDOX,NA,NA,NA,0,NA
Rbtt2,NA,NA,NA,2,NA
CMCMSAD,NA,NA,NA,5,NA
BZDIOLDH,NA,NA,NA,1,NA
DHPDO,NA,NA,NA,6,NA
BZ12DOX,NA,NA,NA,2,NA
HPA3MO,NA,NA,NA,7,NA
HPACt2r,NA,NA,NA,8,NA
13BGH,NA,NA,NA,NA,0
13GS,NA,NA,NA,NA,1
GLUK,NA,NA,NA,NA,0
SBTR,NA,NA,NA,NA,0
NDP7,NA,NA,NA,NA,0
DGGH,NA,NA,NA,NA,0
G6PI3,NA,NA,NA,NA,0
GLCGSD,NA,NA,NA,NA,0
MI1PS,NA,NA,NA,NA,0
MELTGH,NA,NA,NA,NA,0
16GS,NA,NA,NA,NA,0
ERGSTGLCT,NA,NA,NA,NA,0
GLCS2,NA,NA,NA,NA,0
GLYGS,NA,NA,NA,NA,1
MEVK4,NA,NA,NA,NA,0
RNTR4,NA,NA,NA,NA,0
UDPACGLP,NA,NA,NA,NA,2
UTPH1,NA,NA,NA,NA,0
CHTNS,NA,NA,NA,NA,1
AATA,NA,NA,NA,NA,2
AGAT_SC,NA,NA,NA,NA,0
AGTi,NA,NA,NA,NA,0
AHSERL,NA,NA,NA,NA,0
C3STKR2,NA,NA,NA,NA,0
DAGCPT_SC,NA,NA,NA,NA,0
DASYN_SC,NA,NA,NA,NA,0
EHGLAT,NA,NA,NA,NA,0
ERGSTESTH_SC,NA,NA,NA,NA,0
ETHAPT_SC,NA,NA,NA,NA,0
GBEZ,NA,NA,NA,NA,0
GTPH1,NA,NA,NA,NA,0
HKYNH,NA,NA,NA,NA,2
KYN,NA,NA,NA,NA,0
LPCAT_SC,NA,NA,NA,NA,0
LPP_SC,NA,NA,NA,NA,0
MHPGLUT,NA,NA,NA,NA,0
NDP3,NA,NA,NA,NA,0
NDP4,NA,NA,NA,NA,0
NTRLASE2,NA,NA,NA,NA,0
NTRLASE3,NA,NA,NA,NA,0
ORNTA,NA,NA,NA,NA,0
PCDAGAT,NA,NA,NA,NA,0
PDE2,NA,NA,NA,NA,0
PDE5,NA,NA,NA,NA,0
PINOS_SC,NA,NA,NA,NA,2
PLD_SC,NA,NA,NA,NA,0
PMETM_SC,NA,NA,NA,NA,0
PSERS_SC,NA,NA,NA,NA,0
SACCD1,NA,NA,NA,NA,0
SACCD2,NA,NA,NA,NA,1
SLFAT,NA,NA,NA,NA,3
THFGLUS,NA,NA,NA,NA,0
TRIGS_SC,NA,NA,NA,NA,0
TYRTAi,NA,NA,NA,NA,1
UNK3,NA,NA,NA,NA,0
ZYMSTESTH_SC,NA,NA,NA,NA,0
EPMGH,NA,NA,NA,NA,1
GALIGH,NA,NA,NA,NA,0
GGLGH,NA,NA,NA,NA,0
FBP26,NA,NA,NA,NA,0
PFK26,NA,NA,NA,NA,1
RAFGH,NA,NA,NA,NA,0
CHLPCTD,NA,NA,NA,NA,0
DOLK,NA,NA,NA,NA,0
MEVK2,NA,NA,NA,NA,0
PETHCT,NA,NA,NA,NA,0
RNTR3,NA,NA,NA,NA,0
HMGCOAR,NA,NA,NA,NA,1
PMEVK,NA,NA,NA,NA,7
ACGAMPM,NA,NA,NA,NA,0
CHTNDA,NA,NA,NA,NA,0
RNTR1,NA,NA,NA,NA,0
RNTR2,NA,NA,NA,NA,0
YUMPS,NA,NA,NA,NA,0
ATPATF3,NA,NA,NA,NA,0
AASAD1,NA,NA,NA,NA,0
AASAD2,NA,NA,NA,NA,0
AABTN,NA,NA,NA,NA,0
THZPSN1_SC,NA,NA,NA,NA,0
THZPSN2_SC,NA,NA,NA,NA,0
ACGAM6PS,NA,NA,NA,NA,0
ADHAPR_SC,NA,NA,NA,NA,0
CSNATr,NA,NA,NA,NA,0
DAGPYP_SC,NA,NA,NA,NA,0
DESAT16,NA,NA,NA,NA,0
DESAT18,NA,NA,NA,NA,0
DESAT18_2,NA,NA,NA,NA,0
FACOAL141,NA,NA,NA,NA,0
FACOAL180,NA,NA,NA,NA,0
FACOAL182,NA,NA,NA,NA,0
FAS100COA,NA,NA,NA,NA,0
FAS120COA,NA,NA,NA,NA,0
FAS140COA,NA,NA,NA,NA,0
FAS160COA,NA,NA,NA,NA,0
FAS180COA,NA,NA,NA,NA,0
GAT1_SC,NA,NA,NA,NA,0
PAK_SC,NA,NA,NA,NA,1
PYRDC,NA,NA,NA,NA,0
PYRDC2,NA,NA,NA,NA,0
D_LACDcm,NA,NA,NA,NA,0
GTMLT,NA,NA,NA,NA,0
L_LACD2cm,NA,NA,NA,NA,0
ARGN,NA,NA,NA,NA,1
FUMAC,NA,NA,NA,NA,0
ASPOcm,NA,NA,NA,NA,0
C3STDH2,NA,NA,NA,NA,1
CHLSTI,NA,NA,NA,NA,0
SAM24MT,NA,NA,NA,NA,0
ZYMSTAT_SC,NA,NA,NA,NA,1
UREASE,NA,NA,NA,NA,1
METB1,NA,NA,NA,NA,0
2HBO,NA,NA,NA,NA,1
IPCS124_SC,NA,NA,NA,NA,1
IPCS126_SC,NA,NA,NA,NA,1
IPCS224_SC,NA,NA,NA,NA,1
IPCS226_SC,NA,NA,NA,NA,1
IPCS324_SC,NA,NA,NA,NA,1
IPCS326_SC,NA,NA,NA,NA,1
MIP2CS124_SC,NA,NA,NA,NA,1
MIP2CS126_SC,NA,NA,NA,NA,1
MIP2CS224_SC,NA,NA,NA,NA,1
MIP2CS226_SC,NA,NA,NA,NA,1
MIP2CS324_SC,NA,NA,NA,NA,1
MIP2CS326_SC,NA,NA,NA,NA,1
PI45BPP_SC,NA,NA,NA,NA,0
PLBPC_SC,NA,NA,NA,NA,1
TAGL_SC,NA,NA,NA,NA,0
NTP4,NA,NA,NA,NA,0
ERGSTAT_SC,NA,NA,NA,NA,1
FA180ACPH,NA,NA,NA,NA,0
FA181ACPH,NA,NA,NA,NA,0
FAS160,NA,NA,NA,NA,0
FAS161,NA,NA,NA,NA,0
FAS180,NA,NA,NA,NA,0
FAS181,NA,NA,NA,NA,0
FAS240_L,NA,NA,NA,NA,0
PETOHM_SC,NA,NA,NA,NA,0
MTHFD2i,NA,NA,NA,NA,0
SERPT,NA,NA,NA,NA,10
TYRNFT,NA,NA,NA,NA,1
DOLPMTcer,NA,NA,NA,NA,1
MEVK3,NA,NA,NA,NA,0
MIPCS124_SC,NA,NA,NA,NA,1
MIPCS126_SC,NA,NA,NA,NA,1
MIPCS224_SC,NA,NA,NA,NA,1
MIPCS226_SC,NA,NA,NA,NA,1
MIPCS324_SC,NA,NA,NA,NA,1
MIPCS326_SC,NA,NA,NA,NA,1
GNNUC,NA,NA,NA,NA,0
ARMT,NA,NA,NA,NA,0
3HAO,NA,NA,NA,NA,1
KYN3OX,NA,NA,NA,NA,3
3MOPDC,NA,NA,NA,NA,2
FKYNH,NA,NA,NA,NA,5
4MOPDC,NA,NA,NA,NA,2
PPYRDC,NA,NA,NA,NA,3
PIN3K_SC,NA,NA,NA,NA,0
PIN4K_SC,NA,NA,NA,NA,0
CHOLK,NA,NA,NA,NA,0
MFAPS_SC,NA,NA,NA,NA,0
ACALDCD,NA,NA,NA,NA,0
ALCD2ir,NA,NA,NA,NA,0
ALCD2x_copy2,NA,NA,NA,NA,0
TRPO2,NA,NA,NA,NA,6
INDPYRD,NA,NA,NA,NA,2
PPND2,NA,NA,NA,NA,0
DKMPPD2,NA,NA,NA,NA,0
3MOBDC,NA,NA,NA,NA,2
GLYCDy,NA,NA,NA,NA,1
IPC124PLC_SC,NA,NA,NA,NA,0
IPC126PLC_SC,NA,NA,NA,NA,0
IPC224PLC_SC,NA,NA,NA,NA,0
IPC226PLC_SC,NA,NA,NA,NA,0
IPC324PLC_SC,NA,NA,NA,NA,0
IPC326PLC_SC,NA,NA,NA,NA,0
ETHAK,NA,NA,NA,NA,0
PSPHPL,NA,NA,NA,NA,0
SPHPL,NA,NA,NA,NA,0
G5SD2,NA,NA,NA,NA,0
CERS124,NA,NA,NA,NA,0
CERS126,NA,NA,NA,NA,0
CERS224,NA,NA,NA,NA,0
CERS226,NA,NA,NA,NA,0
DIAT,NA,NA,NA,NA,1
EPISTAT_SC,NA,NA,NA,NA,1
FAS100,NA,NA,NA,NA,0
FAS120,NA,NA,NA,NA,0
FAS140,NA,NA,NA,NA,0
FAS141,NA,NA,NA,NA,0
FAS260,NA,NA,NA,NA,0
FAS80COA_L,NA,NA,NA,NA,0
FAS80_L,NA,NA,NA,NA,0
FECOSTAT_SC,NA,NA,NA,NA,1
GAT2_SC,NA,NA,NA,NA,1
